"@timestamp","agent.name","host.ip","winlog.event_id"
"May 24, 2025 @ 16:30:55.773","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:30:53.469","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:30:53.414","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:30:53.351","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:30:49.091","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:30:45.761","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:30:43.391","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:30:39.087","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:30:33.388","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:30:32.737","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:30:29.146","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:30:21.725","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:30:19.079","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:30:13.642","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:30:09.702","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:30:09.081","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:30:03.620","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:29:56.668","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:29:53.475","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:29:53.453","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:29:53.359","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:29:49.095","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:29:46.642","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:29:43.475","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:29:39.095","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:29:36.615","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:29:33.451","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:29:29.091","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:29:26.602","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:29:23.457","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:29:23.429","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:29:21.911","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:29:19.090","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:29:16.575","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:29:13.455","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:29:09.089","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:29:06.559","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:29:03.448","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:28:59.088","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
